일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/04/07","2635252","3614587","-17916452","11666613","0"
"2023/04/06","-10079237","1283451","22811840","-14016054","0"
"2023/04/05","1233022","1783587","9112053","-12128662","0"
"2023/04/04","4181441","1630574","-11470320","5658305","0"
"2023/04/03","-4814742","705086","-4889941","8999597","0"
"2023/03/31","-16673083","1800635","16056988","-1184540","0"
"2023/03/30","-40791160","38944843","-8266939","10113256","0"
"2023/03/29","6303749","40042","-16075805","9732014","0"
"2023/03/28","7837516","-1826090","-20211307","14199881","0"
"2023/03/27","-49290","-607268","66539","590019","0"
"2023/03/24","-4379877","-6280805","-5270478","15931160","0"
"2023/03/23","3706668","-3558036","2835176","-2983808","0"
"2023/03/22","318592","-1868921","7782903","-6232574","0"
"2023/03/21","2676681","-1671059","10914545","-11920167","0"
"2023/03/20","1932507","-85575","-1454734","-392198","0"
"2023/03/17","2247266","-2556974","-15494924","15804632","0"
"2023/03/16","-4610738","1227682","10688280","-7305224","0"
"2023/03/15","3797996","-2160274","-14716122","13078400","0"
"2023/03/14","-196362","-2522990","26855246","-24135894","0"
"2023/03/13","556667","-937076","-6317627","6698036","0"
"2023/03/10","-7613442","-1728839","24801355","-15459074","0"
"2023/03/09","14616182","-1629780","9097968","-22084370","0"
"2023/03/08","-21288733","169044","23519739","-2400050","0"
"2023/03/07","-3122259","-3613557","-319919","7055735","0"
"2023/03/06","7468056","-3130432","-12448168","8110544","0"
"2023/03/03","-4645903","-8802382","15118570","-1670285","0"
"2023/03/02","-2789876","-3946230","-8535578","15271684","0"